driverId,name,ssn,location,certified,wage-plan
10,Kristen Small,536-24-2889,"74350 Ortiz Locks
New Ianchester, HI 72137",N,miles
11,Brian Brown,596-20-9270,"PSC 2521, Box 5372
APO AP 02173",N,miles
12,Karen Kennedy,705-44-7888,"7946 Corey Manor
Grantfurt, NY 23165",Y,hours
13,Christopher Phillips,578-90-4802,"55539 Rebecca Ridge Suite 810
Josephburgh, CA 78518",N,miles
14,Michael Reese,821-11-0141,"633 Mario Islands Apt. 625
South Nicholas, OH 19630",Y,miles
15,Jill Gonzalez,261-03-2549,"53676 Brown Vista
Johnfort, GU 54777",N,hours
16,Olivia Velez,710-22-2923,"PSC 7639, Box 1091
APO AE 48880",N,miles
17,Jerry Thompson,400-50-6870,"193 Robert Tunnel Suite 990
Mooreshire, VT 56858",Y,miles
18,Cindy Shaw,564-04-7801,"7222 Joseph Passage
Cassidyshire, WY 88984",Y,hours
19,Megan Norris,850-99-6533,"0273 Paul Cove
New Sandrashire, IN 06369",Y,miles
20,Miguel Hunt,465-70-8011,"201 Samuel Forges
Christophershire, ME 56092",Y,miles
21,Amy Patton,792-90-1238,"45706 Olsen Square Suite 317
South Angelaton, OH 83231",N,hours
22,Thomas Hall,446-99-2186,"4096 Miller Groves Suite 563
Jamesville, VA 52503",Y,miles
23,Stephen Phillips,659-60-7490,"833 William Station
South Krystal, MO 63132",N,miles
24,Molly Brown,832-50-2238,"633 Holmes Viaduct Suite 804
Lake Yesenia, UT 15007",N,miles
25,Ariel Robinson,253-37-0485,"404 Price Heights
Kellyville, SC 94472",N,miles
26,Edward Jones,677-31-2599,"2553 Kenneth Drives
South Henry, HI 63954",Y,hours
27,Dr. Kimberly Cochran,854-10-6078,"623 Maxwell Meadow Apt. 608
Port Andrew, NJ 77828",Y,hours
28,Christopher Brewer,166-17-6228,"2446 Nina Loop Suite 286
New Kaitlynville, IA 79040",N,hours
29,Justin Hamilton,439-88-6420,"83824 Miller Summit Apt. 890
Scottshire, WI 65745",Y,miles
30,John Cook,568-04-4115,"83206 Kristina Drive Apt. 319
West Robert, NM 43521",Y,miles
31,Eddie Moore,150-42-5793,"935 Ryan Isle Suite 386
West Grace, TN 10804",Y,hours
32,Michelle Daniels,016-12-7728,"3171 Johnson Pike Apt. 489
Stevenville, AR 13097",N,miles
33,Matthew Brown,643-38-5917,"969 Anna Views Suite 160
New Heather, MP 53089",N,miles
34,Michael Davis,571-04-9197,"44711 Mary Flats Suite 870
Dakotaburgh, MI 15673",Y,hours
35,Tamara Carroll,625-95-2168,"68706 Rita Pine
Richardchester, MH 07109",N,miles
36,Curtis Fisher,158-45-8948,"19301 Nicole Inlet
Thompsonstad, NV 95611",N,hours
